s_id,direction,lane,lat,long,month,dailytraffic
156,1,1,35.328797,85.163594,1,96994
34,3,1,42.521058,71.702973,1,88861
168,5,1,33.544928,86.752254,1,295964
101864,7,3,33.588597,112.24595,1,137462
610344,3,1,30.7762,85.5781,1,98976
168,5,1,34.774272,83.075817,1,295964
101864,7,2,33.588597,112.24595,1,171185
168,5,1,39.787799,75.057412,1,295964
101864,7,1,33.588597,112.24595,1,158412
34,3,1,42.352728,111.094303,1,88861
101866,3,1,33.566174,112.220065,1,104080
168,5,1,43.98228,116.913981,1,295964
101864,3,3,33.588597,112.24595,1,185676
168,5,2,33.544928,86.752254,1,451424
101864,3,2,33.588597,112.24595,1,182605
168,5,2,34.774272,83.075817,1,451424
101864,3,1,33.588597,112.24595,1,127936
34,3,1,38.3883,81.7982,1,88861
620176,1,1,34.57944,92.495,1,132955
168,5,2,43.98228,116.913981,1,451424
101855,7,3,33.629511,112.338165,1,147539
610344,7,1,30.7762,85.5781,1,93277
168,5,1,33.052018,82.66383,1,295964
101866,3,2,33.566174,112.220065,1,190309
168,1,5,33.544928,86.752254,1,349081
168,1,1,39.787799,75.057412,1,282424
34,3,2,34.857425,82.344036,1,162205
101869,7,1,33.5196,112.163304,1,218368
168,1,1,43.98228,116.913981,1,282424
609959,5,1,30.99228,86.3092,1,60824
101869,3,3,33.5196,112.163304,1,209806
168,1,2,33.544928,86.752254,1,441359
101869,3,2,33.5196,112.163304,1,258354
168,1,2,34.774272,83.075817,1,441359
34,3,2,32.380369,86.286308,1,162205
101869,3,1,33.5196,112.163304,1,198536
168,1,2,39.787799,75.057412,1,441359
101866,7,3,33.566174,112.220065,1,141650
168,1,2,43.98228,116.913981,1,441359
101866,7,2,33.566174,112.220065,1,198017
168,1,3,33.544928,86.752254,1,156299
168,1,3,34.774272,83.075817,1,156299
34,3,1,46.296037,106.789572,1,88861
101866,7,1,33.566174,112.220065,1,159878
168,1,4,33.544928,86.752254,1,405190
101866,3,3,33.566174,112.220065,1,198567
168,5,3,33.544928,86.752254,1,244901
620176,5,1,34.57944,92.495,1,142170
101855,7,2,33.629511,112.338165,1,117623
168,5,3,34.774272,83.075817,1,244901
641932,5,1,36.05934,92.869152,1,49017
172,5,1,34.774272,83.075817,1,205091
101835,7,2,33.954493,112.709385,1,155972
172,5,2,32.358551,86.252527,1,416007
32,5,2,44.15416,92.533333,1,290951
101835,7,1,33.954493,112.709385,1,161130
172,5,3,32.358551,86.252527,1,448772
650284,1,1,35.36963,94.36447,1,301655
101835,3,2,33.954493,112.709385,1,110204
172,5,4,32.358551,86.252527,1,340978
101835,3,1,33.954493,112.709385,1,203060
32,5,2,43.41422,110.7727,1,290951
177,1,1,32.367539,86.316454,1,310486
177,1,1,35.301332,85.150546,1,310486
650284,1,2,35.36963,94.36447,1,183421
101807,5,2,34.633153,112.289371,1,50050
177,1,1,42.756044,114.70397,1,310486
101807,5,1,34.633153,112.289371,1,126543
32,5,2,42.345417,71.26251,1,290951
177,1,2,32.367539,86.316454,1,474433
101807,1,2,34.633153,112.289371,1,63671
101851,3,1,33.67581,112.3979,1,124276
101869,7,2,33.5196,112.163304,1,246806
172,5,1,32.358551,86.252527,1,205091
101851,3,2,33.67581,112.3979,1,123137
34,3,1,34.857425,82.344036,1,88861
101855,7,1,33.629511,112.338165,1,94345
168,5,4,33.544928,86.752254,1,440548
101855,3,3,33.629511,112.338165,1,120669
630009,1,1,34.74824,94.075706,1,49243
168,5,5,33.544928,86.752254,1,275122
101855,3,2,33.629511,112.338165,1,134789
172,1,1,32.358551,86.252527,1,198752
34,3,1,32.380369,86.286308,1,88861
101855,3,1,33.629511,112.338165,1,113478
172,1,1,34.774272,83.075817,1,198752
630009,5,1,34.74824,94.075706,1,47588
101851,7,3,33.67581,112.3979,1,172602
172,1,2,32.358551,86.252527,1,403350
101851,7,2,33.67581,112.3979,1,151052
32,5,2,47.510309,111.264201,1,290951
172,1,3,32.358551,86.252527,1,461134
101851,7,1,33.67581,112.3979,1,114352
641932,1,1,36.05934,92.869152,1,48707
172,1,4,32.358551,86.252527,1,360145
101851,3,3,33.67581,112.3979,1,152135
32,5,2,44.295669,111.457499,1,290951
168,1,1,34.774272,83.075817,1,282424
101869,7,3,33.5196,112.163304,1,202820
609959,1,1,30.99228,86.3092,1,62864
600870,3,1,34.817101,92.153976,1,19045
160,5,2,33.520176,86.834293,1,332508
160,5,2,41.26567,104.8425,1,332508
160,5,3,33.520176,86.834293,1,248218
34,7,2,32.380369,86.286308,1,142141
160,5,4,33.520176,86.834293,1,233109
160,5,5,33.520176,86.834293,1,145263
600870,3,2,34.817101,92.153976,1,37732
163,1,1,33.633792,86.624079,1,216984
163,1,1,34.774272,83.075817,1,216984
163,1,1,40.604505,82.68904,1,216984
163,1,1,41.66975,107.74302,1,216984
34,7,1,46.296037,106.789572,1,55090
163,1,1,43.680282,116.462632,1,216984
600870,3,3,34.817101,92.153976,1,11990
163,1,2,33.633792,86.624079,1,372405
163,1,2,43.680282,116.462632,1,372405
163,1,3,33.633792,86.624079,1,308301
163,5,1,33.633792,86.624079,1,101497
163,5,1,34.774272,83.075817,1,101497
34,7,1,42.521058,71.702973,1,55090
160,5,2,31.91226,81.35294,1,332508
600870,7,1,34.817101,92.153976,1,14377
160,5,1,41.26567,104.8425,1,321966
34,7,2,34.857425,82.344036,1,142141
101898,3,1,33.371938,111.482852,1,263223
