State,City,rank,total_capacity
AK,Anchorage,3,132.0
AK,Homer,4,114.0
AK,Juneau,1,420.0
AK,Others,Others,666.0
AK,Soldotna,2,329.0
AL,Auburn,1,1302.0
AL,Birmingham,2,1298.0
AL,Huntsville,3,1226.0
AL,Montgomery,4,1156.0
AL,Others,Others,8547.0
AR,Brinkley,4,400.0
AR,Little Rock,1,1765.0
AR,Lowell,3,415.0
AR,North Little Rock,2,500.0
AR,Others,Others,4267.0
AZ,Others,Others,24075.0
AZ,Phoenix,1,7625.0
AZ,Scottsdale,2,5597.0
AZ,Tempe,4,2494.0
AZ,Tucson,3,3126.0
CA,Los Angeles,1,44560.0
CA,Others,Others,564136.0
CA,Sacramento,4,15714.0
CA,San Diego,2,31595.0
CA,San Jose,3,25162.0
CO,Aurora,3,2802.0
CO,Boulder,2,3354.0
CO,Colorado Springs,4,2247.0
CO,Denver,1,8582.0
CO,Others,Others,45991.0
CT,Darien,2,1645.0
CT,Fairfield,3,1428.0
CT,Hartford,1,1923.0
CT,Others,Others,20819.0
CT,Stamford,4,1419.0
DC,Anacostia Naval Station,3,7.0
DC,Washington,1,8661.0
DC,Washington Navy Yard,2,60.0
DE,Dover,3,634.0
DE,Lewes,4,503.0
DE,New Castle,2,911.0
DE,Newark,1,1118.0
DE,Others,Others,3595.0
FL,Jacksonville,3,5086.0
FL,Miami,1,12659.0
FL,Orlando,2,8443.0
FL,Others,Others,88574.0
FL,Tampa,4,4876.0
GA,Alpharetta,2,2160.0
GA,Atlanta,1,14647.0
GA,Marietta,3,1670.0
GA,Others,Others,42111.0
GA,Woodstock,4,1494.0
HI,Honolulu,1,3221.0
HI,Kapolei,2,1125.0
HI,Kihei,3,649.0
HI,Others,Others,4801.0
HI,Wailuku,4,482.0
IA,Altoona,3,1182.0
IA,Davenport,2,1381.0
IA,Des Moines,1,2195.0
IA,Others,Others,12042.0
IA,Waterloo,4,1073.0
ID,Boise,1,1611.0
ID,Burley,4,422.0
ID,Idaho Falls,2,871.0
ID,Others,Others,2870.0
ID,Pocatello,3,493.0
IL,Aurora,3,1286.0
IL,Chicago,1,9684.0
IL,Normal,4,1226.0
IL,Others,Others,32962.0
IL,Skokie,2,1492.0
IN,Elkhart,2,2092.0
IN,Fort Wayne,3,1584.0
IN,Indianapolis,1,3525.0
IN,Others,Others,14361.0
IN,Rolling Prairie,4,1000.0
KS,Olathe,2,1071.0
KS,Others,Others,8379.0
KS,Overland Park,1,2376.0
KS,Topeka,3,976.0
KS,Wichita,4,923.0
KY,Bowling Green,2,697.0
KY,Florence,3,679.0
KY,Lexington,4,649.0
KY,Louisville,1,2613.0
KY,Others,Others,3100.0
LA,Baton Rouge,3,643.0
LA,Lafayette,2,817.0
